        (-8.45297887245268962E-005,0.0000000000000000)
        (-1.58416555729692227E-004,0.0000000000000000)
        (-3.03451938752940663E-004,0.0000000000000000)
        (-5.87553526481345272E-004,0.0000000000000000)
        (-1.13547811869656070E-003,0.0000000000000000)
        (-2.21147599099707918E-003,0.0000000000000000)
        (-4.28084465487596402E-003,0.0000000000000000)
        (-8.33354505272529064E-003,0.0000000000000000)
        (-1.61267193981441057E-002,0.0000000000000000)
        (-3.13335603968943402E-002,0.0000000000000000)
        (-6.00477203584793215E-002,0.0000000000000000)
             (-0.11329675400729360,0.0000000000000000)
             (-0.20552895858954959,0.0000000000000000)
             (-0.33658445783052321,0.0000000000000000)
             (-0.46062684132287213,0.0000000000000000)
             (-0.50046715658169749,0.0000000000000000)
   (1.39029873302960615E-020,1.13526506913199754E-004)
   (2.27339373951591982E-020,1.85636686537630737E-004)
   (4.24859679715445847E-020,3.46924256121923665E-004)
   (8.08304095422866087E-020,6.60030382961690064E-004)
   (1.53938940353274905E-019,1.25700684188645309E-003)
   (2.86027954410169694E-019,2.33559549949131137E-003)
   (5.07199454629975380E-019,4.14159787646329377E-003)
   (7.94486064352409067E-019,6.48747115244257752E-003)
   (9.83227341135453787E-019,8.02866086244029623E-003)
   (8.22465702396792086E-019,6.71594280891417254E-003)
   (4.24895351385224039E-019,3.46953470749447601E-003)
   (1.46936381238951229E-019,1.19982733124655025E-003)
   (3.91390767838471273E-020,3.19595285597092300E-004)
   (9.05789344389527220E-021,7.39635792019176252E-005)
   (2.02803533891797838E-021,1.65603089473926261E-005)
   (4.67867522237252914E-022,3.82050565135884249E-006)
   (1.45447470504527590E-022,1.18771581504670408E-006)
       (-0.50048682873014605,6.12919592819783092E-017)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
         (1.93423317348490945E-017,0.0000000000000000)
        (-3.65097362812931310E-017,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
         (1.70088291033247481E-016,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
        (-1.75178411672162472E-016,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
             (-0.50048693644947773,0.0000000000000000)
         (2.15463670241612529E-006,0.0000000000000000)
         (6.79665355782819881E-006,0.0000000000000000)
         (2.93487577248009481E-005,0.0000000000000000)
         (1.32834597314703120E-004,0.0000000000000000)
         (6.10535211404776438E-004,0.0000000000000000)
         (2.73097031573164535E-003,0.0000000000000000)
         (1.17810682901286472E-002,0.0000000000000000)
         (4.45428262498796732E-002,0.0000000000000000)
              (0.13416027948465414,0.0000000000000000)
              (0.27144793637402875,0.0000000000000000)
              (0.34251783007493103,0.0000000000000000)
              (0.28699562750684798,0.0000000000000000)
              (0.18598580076114843,0.0000000000000000)
              (0.10534656204624138,0.0000000000000000)
         (5.68453692342213573E-002,0.0000000000000000)
         (3.06248964880074838E-002,0.0000000000000000)
         (1.86299465580523349E-002,0.0000000000000000)
  (-4.46833868020361540E-019,3.64867581752784543E-003)
               (0.0000000000000000,0.0000000000000000)
             (-0.50048692844468201,0.0000000000000000)
   (7.11447815580462941E-021,5.80941228205495035E-005)
   (1.16384742022295377E-020,9.50353539600946201E-005)
   (2.17757805014472421E-020,1.77812741773910156E-004)
   (4.15462081861271435E-020,3.39250535225234066E-004)
   (7.96669331052436160E-020,6.50529877336986431E-004)
   (1.50437763962990264E-019,1.22841756915002993E-003)
   (2.77084720396046245E-019,2.26256846121787895E-003)
   (4.71395858492776487E-019,3.84923936437516151E-003)
   (6.86419016017877140E-019,5.60503686031884642E-003)
   (7.39886540548702529E-019,6.04163271116343534E-003)
   (5.11706836908790635E-019,4.17840445871976024E-003)
   (2.22682406660738695E-019,1.81834094079702719E-003)
   (6.79942083010694780E-020,5.55215661854980289E-004)
   (1.68288086006728026E-020,1.37418145347022197E-004)
   (3.88008402386362428E-021,3.16835653423430907E-005)
   (9.06201880081635100E-022,7.39984982840801724E-006)
   (2.83001020985580624E-022,2.31097032582987822E-006)
